state, probability,
[42; 7; 1; 0],1.1945712312e-60,
[42; 7; 0; 1],9.95077834799e-59,
[42; 6; 2; 0],3.18552328587e-61,
[42; 6; 1; 1],2.65354089503e-59,
[42; 6; 0; 2],1.1051997819e-57,
[42; 5; 3; 0],8.49472876945e-62,
[42; 5; 2; 1],7.07610905935e-60,
[42; 5; 1; 2],2.94719942089e-58,
[42; 5; 0; 3],8.18339038552e-57,
[42; 4; 4; 0],2.26526100709e-62,
[42; 4; 3; 1],1.88696241741e-60,
[42; 4; 2; 2],7.8591984623e-59,
[42; 4; 1; 3],2.18223743797e-57,
[42; 4; 0; 4],4.54450946098e-56,
[42; 3; 5; 0],6.04069602398e-63,
[42; 3; 4; 1],5.03189978399e-61,
[42; 3; 3; 2],2.09578625837e-59,
[42; 3; 2; 3],5.81929983948e-58,
[42; 3; 1; 4],1.21186919061e-56,
[42; 3; 0; 5],2.01897406996e-55,
[42; 2; 6; 0],1.61085227441e-63,
[42; 2; 5; 1],1.34183994352e-61,
[42; 2; 4; 2],5.58876336036e-60,
[42; 2; 3; 3],1.55181329183e-58,
[42; 2; 2; 4],3.23165117768e-57,
[42; 2; 1; 5],5.38393085775e-56,
[42; 2; 0; 6],7.47469066826e-55,
[42; 1; 7; 0],4.29560606871e-64,
[42; 1; 6; 1],3.57823985241e-62,
[42; 1; 5; 2],1.49033689735e-60,
[42; 1; 4; 3],4.13816878169e-59,
[42; 1; 3; 4],8.61773648105e-58,
[42; 1; 2; 5],1.43571489661e-56,
[42; 1; 1; 6],1.99325084654e-55,
[42; 1; 0; 7],2.37196850551e-54,
[42; 0; 8; 0],1.14549495262e-64,
[42; 0; 7; 1],9.54197294776e-63,
[42; 0; 6; 2],3.9742317296e-61,
[42; 0; 5; 3],1.10351167604e-59,
[42; 0; 4; 4],2.29806306354e-58,
[42; 0; 3; 5],3.82857306083e-57,
[42; 0; 2; 6],5.31533559525e-56,
[42; 0; 1; 7],6.32524935334e-55,
[42; 0; 0; 8],6.58616588395e-54,
[41; 9; 0; 0],1.67986572688e-58,
[41; 8; 1; 0],4.4796419421e-59,
[41; 8; 0; 1],3.73154173482e-57,
[41; 7; 2; 0],1.19457118556e-59,
[41; 7; 1; 1],9.95077796787e-58,
[41; 7; 0; 2],4.14449902034e-56,
[41; 6; 3; 0],3.18552316418e-60,
[41; 6; 2; 1],2.65354079366e-58,
[41; 6; 1; 2],1.10519973969e-56,
[41; 6; 0; 3],3.06877127476e-55,
[41; 5; 4; 0],8.49472844495e-61,
[41; 5; 3; 1],7.07610878904e-59,
[41; 5; 2; 2],2.9471993083e-57,
[41; 5; 1; 3],8.18339007291e-56,
[41; 5; 0; 4],1.70419098133e-54,
[41; 4; 5; 0],2.26526092056e-61,
[41; 4; 4; 1],1.88696234533e-59,
[41; 4; 3; 2],7.85919816208e-58,
[41; 4; 2; 3],2.18223735461e-56,
[41; 4; 1; 4],4.54450928738e-55,
[41; 4; 0; 5],7.57115246678e-54,
[41; 3; 6; 0],6.04069579322e-62,
[41; 3; 5; 1],5.03189959177e-60,
[41; 3; 4; 2],2.09578617831e-58,
[41; 3; 3; 3],5.81929961718e-57,
[41; 3; 2; 4],1.21186914432e-55,
[41; 3; 1; 5],2.01897399284e-54,
[41; 3; 0; 6],2.80300889117e-53,
[41; 2; 7; 0],1.61085221288e-62,
[41; 2; 6; 1],1.34183989227e-60,
[41; 2; 5; 2],5.58876314687e-59,
[41; 2; 4; 3],1.55181323255e-57,
[41; 2; 3; 4],3.23165105423e-56,
[41; 2; 2; 5],5.38393065209e-55,
[41; 2; 1; 6],7.47469038273e-54,
[41; 2; 0; 7],8.89488154841e-53,
[41; 1; 8; 0],4.29560590462e-63,
[41; 1; 7; 1],3.57823971572e-61,
[41; 1; 6; 2],1.49033684042e-59,
[41; 1; 5; 3],4.13816862361e-58,
[41; 1; 4; 4],8.61773615185e-57,
[41; 1; 3; 5],1.43571484176e-55,
[41; 1; 2; 6],1.9932507704e-54,
[41; 1; 1; 7],2.3719684149e-53,
[41; 1; 0; 8],2.46981211006e-52,
[41; 0; 9; 0],1.14549490886e-63,
[41; 0; 8; 1],9.54197258326e-62,
[41; 0; 7; 2],3.97423157778e-60,
[41; 0; 6; 3],1.10351163389e-58,
[41; 0; 5; 4],2.29806297576e-57,
[41; 0; 4; 5],3.82857291458e-56,
[41; 0; 3; 6],5.3153353922e-55,
[41; 0; 2; 7],6.32524911172e-54,
[41; 0; 1; 8],6.58616563236e-53,
[41; 0; 0; 9],6.09586218601e-52,
[40; 10; 0; 0],6.14950822439e-57,
[40; 9; 1; 0],1.63986886121e-57,
[40; 9; 0; 1],1.36601076031e-55,
[40; 8; 2; 0],4.37298363358e-58,
[40; 8; 1; 1],3.64269536389e-56,
[40; 8; 0; 2],1.51718261786e-54,
[40; 7; 3; 0],1.16612896993e-58,
[40; 7; 2; 1],9.71385431186e-57,
[40; 7; 1; 2],4.04582031769e-55,
[40; 7; 0; 3],1.12338944065e-53,
[40; 6; 4; 0],3.10967725577e-59,
[40; 6; 3; 1],2.590361152e-57,
[40; 6; 2; 2],1.07888541896e-55,
[40; 6; 1; 3],2.9957051776e-54,
[40; 6; 0; 4],6.2385560274e-53,
[40; 5; 5; 0],8.29247268901e-60,
[40; 5; 4; 1],6.90762974448e-58,
[40; 5; 3; 2],2.8770277863e-56,
[40; 5; 2; 3],7.98854714697e-55,
[40; 5; 1; 4],1.66361494204e-53,
[40; 5; 0; 5],2.77158249124e-52,
[40; 4; 6; 0],2.21132605226e-60,
[40; 4; 5; 1],1.84203460008e-58,
[40; 4; 4; 2],7.67207410324e-57,
[40; 4; 3; 3],2.13027924098e-55,
[40; 4; 2; 4],4.43630651583e-54,
[40; 4; 1; 5],7.39088664952e-53,
[40; 4; 0; 6],1.02610142903e-51,
[40; 3; 7; 0],5.89686947765e-61,
[40; 3; 6; 1],4.91209227099e-59,
[40; 3; 5; 2],2.04588642925e-57,
[40; 3; 4; 3],5.68074464739e-56,
[40; 3; 3; 4],1.18301507188e-54,
[40; 3; 2; 5],1.97090310819e-53,
[40; 3; 1; 6],2.73627047971e-52,
[40; 3; 0; 7],3.25616186828e-51,
[40; 2; 8; 0],1.57249852869e-61,
[40; 2; 7; 1],1.30989127337e-59,
[40; 2; 6; 2],5.45569714925e-58,
[40; 2; 5; 3],1.51486524058e-56,
[40; 2; 4; 4],3.154706861e-55,
[40; 2; 3; 5],5.25574162627e-54,
[40; 2; 2; 6],7.29672128536e-53,
[40; 2; 1; 7],8.6830983227e-52,
[40; 2; 0; 8],9.04127612136e-51,
[40; 1; 9; 0],4.19332941337e-62,
[40; 1; 8; 1],3.49304339857e-60,
[40; 1; 7; 2],1.45485257435e-58,
[40; 1; 6; 3],4.03964064493e-57,
[40; 1; 5; 4],8.4125516364e-56,
[40; 1; 4; 5],1.40153110152e-54,
[40; 1; 3; 6],1.9457923444e-53,
[40; 1; 2; 7],2.315492888e-52,
[40; 1; 1; 8],2.41100696772e-51,
[40; 1; 0; 9],2.23152089169e-50,
[40; 0; 10; 0],1.11822117784e-62,
