jobs,probability,
1,0.999999555851,
2,0.999998350305,
3,0.999995676531,
4,0.999990098227,
5,0.999978820051,
6,0.999956563915,
7,0.999913630045,
8,0.999832663339,
9,0.999683450469,
10,0.99941486596,
11,0.99894292398,
12,0.998133880299,
13,0.996781621451,
14,0.994579371274,
15,0.991087231692,
16,0.985699359195,
17,0.97761755046,
18,0.96584120061,
19,0.949186077283,
20,0.926344765336,
21,0.895998450949,
22,0.856981761098,
23,0.808489589519,
24,0.750298983736,
25,0.682964140031,
26,0.607933885761,
27,0.527544327769,
28,0.444857925421,
29,0.363352757549,
30,0.286505027989,
31,0.217342071518,
32,0.158059537513,
33,0.109786617059,
34,0.0725475070664,
35,0.0454161555523,
36,0.026811800264,
37,0.0148518576017,
38,0.00767589201802,
39,0.00367785405767,
40,0.00162172025343,
41,0.0006524000333,
42,0.000236977082611,
43,7.67425162248e-05,
44,2.1804950712e-05,
45,5.32368108985e-06,
46,1.08564033796e-06,
47,1.77488750031e-07,
48,2.18056209755e-08,
49,1.78921866212e-09,
50,7.35270733188e-11,
